Running erasure:
absl::flat_hash_map;absl::node_hash_map;boost::unordered_map;boost::unordered_flat_map;boost::unordered_node_map
10000;0.192859;0.433087;0.413072;0.154802;0.369305
10500;0.189118;0.430353;0.418138;0.154999;0.366232
11025;0.18513;0.418881;0.415057;0.151;0.366137
11576;0.179774;0.414106;0.419883;0.150415;0.363609
12154;0.17566;0.416931;0.421201;0.15057;0.360876
12760;0.170166;0.402053;0.417417;0.145299;0.359984
13396;0.162691;0.401751;0.417324;0.142892;0.358164
14063;0.157455;0.392328;0.418327;0.17642;0.390261
14763;0.241412;0.45307;0.418095;0.175671;0.388518
15498;0.237038;0.45642;0.418989;0.173629;0.384836
16269;0.231542;0.449738;0.420591;0.170325;0.383287
17078;0.225298;0.447722;0.420748;0.168673;0.381809
17927;0.219524;0.443569;0.41981;0.166278;0.379251
18818;0.213681;0.440625;0.422191;0.164331;0.376936
19753;0.207949;0.436049;0.422558;0.164293;0.374655
20734;0.202295;0.432435;0.422425;0.1623;0.373189
21764;0.196509;0.424311;0.425426;0.158288;0.373404
22845;0.190522;0.428551;0.424437;0.157421;0.371055
23980;0.185222;0.418618;0.427524;0.154857;0.365513
25171;0.179425;0.40722;0.423392;0.151047;0.363388
26421;0.172528;0.407971;0.423917;0.147795;0.36173
27733;0.16555;0.398876;0.421628;0.181797;0.396077
29110;0.242335;0.45909;0.424241;0.179812;0.39393
30555;0.237748;0.458315;0.426291;0.176249;0.390979
32072;0.23275;0.454481;0.425309;0.174753;0.388202
33664;0.227207;0.449218;0.42659;0.170381;0.385403
35335;0.221148;0.444837;0.425074;0.168352;0.383976
37089;0.215725;0.445912;0.427819;0.166769;0.381642
38930;0.209597;0.441767;0.428155;0.164097;0.378616
40863;0.203755;0.434093;0.431221;0.163024;0.377239
42892;0.197758;0.42666;0.430214;0.16215;0.373948
45022;0.192416;0.425087;0.430754;0.158942;0.372193
47258;0.18652;0.417002;0.431928;0.158381;0.36731
49605;0.181139;0.412721;0.430898;0.154849;0.3662
52069;0.174902;0.406943;0.430232;0.151053;0.363343
54656;0.168256;0.399088;0.432198;0.182384;0.399308
57372;0.243352;0.457487;0.432076;0.179735;0.39604
60223;0.238577;0.455069;0.432153;0.177207;0.393807
63216;0.233521;0.45278;0.431687;0.174873;0.390895
66358;0.228158;0.45006;0.432033;0.174355;0.387527
69657;0.222552;0.445206;0.433459;0.170538;0.385639
73120;0.216899;0.441969;0.433423;0.168542;0.382645
76756;0.210867;0.438594;0.434524;0.166286;0.381803
80573;0.206269;0.434567;0.435182;0.164787;0.37896
84580;0.199451;0.430279;0.438321;0.163206;0.376521
88787;0.193845;0.423721;0.437989;0.159812;0.374284
93204;0.187996;0.419297;0.437608;0.15843;0.371964
97841;0.182371;0.412546;0.436049;0.155279;0.368762
102709;0.176562;0.406362;0.43666;0.152597;0.366179
107820;0.170218;0.398128;0.434701;0.18398;0.400277
113186;0.163012;0.38901;0.435223;0.181306;0.397277
118820;0.239884;0.459227;0.434745;0.178696;0.394531
124735;0.235179;0.456796;0.437206;0.177488;0.391448
130945;0.229808;0.454366;0.434525;0.175764;0.389296
137465;0.224021;0.450797;0.43699;0.172389;0.386245
144311;0.218413;0.447514;0.436693;0.170388;0.382909
151499;0.212261;0.443506;0.437761;0.168848;0.380378
159046;0.206637;0.439673;0.439056;0.166898;0.378672
166970;0.200813;0.435824;0.439283;0.164796;0.376824
175290;0.195164;0.43054;0.442477;0.162016;0.373866
184026;0.189626;0.42526;0.444706;0.159803;0.372132
193198;0.184225;0.419867;0.446405;0.157345;0.368328
202828;0.177741;0.415421;0.468051;0.154439;0.365959
212939;0.171295;0.409273;0.47506;0.15204;0.362387
223555;0.164256;0.403865;0.47845;0.1833;0.398362
234701;0.241073;0.479613;0.491138;0.180714;0.395565
246404;0.236024;0.482833;0.492391;0.178116;0.394021
258692;0.230542;0.48698;0.499948;0.175639;0.391681
271594;0.224669;0.486794;0.505625;0.173432;0.391065
285141;0.218863;0.488084;0.51203;0.171154;0.387986
299365;0.213005;0.48933;0.516222;0.169219;0.386681
314300;0.207368;0.499346;0.522945;0.16687;0.385105
329981;0.201768;0.490548;0.528337;0.164765;0.38257
346446;0.195963;0.507176;0.537479;0.162266;0.381412
363734;0.190277;0.488491;0.53932;0.160594;0.379497
381886;0.18474;0.484829;0.546859;0.158353;0.378022
400945;0.17899;0.479975;0.556036;0.155786;0.375945
420956;0.173016;0.47244;0.557166;0.152982;0.372818
441967;0.166287;0.465123;0.555498;0.185373;0.408779
464028;0.242432;0.533903;0.556901;0.181896;0.405355
487192;0.237602;0.530949;0.553696;0.179069;0.402869
511514;0.232215;0.528796;0.555501;0.176626;0.3997
537052;0.226461;0.555668;0.593104;0.174128;0.443889
563866;0.220495;0.553116;0.59478;0.171895;0.437067
592020;0.214613;0.545421;0.596372;0.169831;0.43514
621581;0.208824;0.540305;0.595393;0.167734;0.429179
652620;0.202909;0.533613;0.600267;0.165605;0.429286
685210;0.197289;0.553096;0.601429;0.163151;0.426057
719429;0.191915;0.549747;0.60346;0.160947;0.420033
755358;0.186288;0.544132;0.609809;0.159179;0.413525
793083;0.180573;0.53926;0.539301;0.156484;0.420554
832694;0.174556;0.534483;0.540728;0.154043;0.414098
874285;0.168034;0.524959;0.544564;0.190844;0.450534
917955;0.243569;0.53512;0.543403;0.183486;0.45194
963808;0.23859;0.531297;0.545523;0.180004;0.44611
1011953;0.233465;0.52842;0.54605;0.177385;0.446739
1062505;0.227653;0.523529;0.546381;0.175148;0.442886
1115584;0.221899;0.518214;0.55027;0.1724;0.43916
1171316;0.215689;0.523114;0.554214;0.170792;0.435058
1229834;0.20989;0.522391;0.554685;0.16823;0.431623
1291277;0.204228;0.515622;0.558505;0.166233;0.428802
1355792;0.198493;0.509883;0.563681;0.164128;0.424868
1423532;0.19289;0.529735;0.56968;0.161607;0.42419
1494659;0.187226;0.52825;0.572793;0.159704;0.419822
1569342;0.181748;0.525581;0.577451;0.157206;0.417084
1647759;0.175427;0.479552;0.523235;0.154597;0.414144
1730096;0.16905;0.471058;0.526401;0.193469;0.45359
1816549;0.161819;0.462903;0.52873;0.184877;0.448749
1907324;0.239397;0.522172;0.530888;0.180926;0.445304
2002637;0.23453;0.523255;0.532305;0.182803;0.444409
2102715;0.228911;0.579032;0.532608;0.176519;0.440995
2207796;0.222888;0.574763;0.536637;0.173282;0.438094
2318131;0.216851;0.570247;0.539908;0.170922;0.433745
2433982;0.211192;0.548873;0.54243;0.168676;0.432116
2555625;0.20506;0.552976;0.549486;0.166413;0.428581
2683350;0.19959;0.545041;0.552463;0.164294;0.427823
2817461;0.193815;0.547204;0.557275;0.161976;0.423906
2958277;0.188391;0.540805;0.559516;0.159512;0.41914
3106133;0.182404;0.508591;0.566375;0.157239;0.419405
3261381;0.176646;0.502921;0.539686;0.154875;0.416502
3424391;0.17057;0.491385;0.541242;0.15202;0.41736
3595551;0.163953;0.485237;0.539736;0.190757;0.453498
3775269;0.240484;0.592335;0.538814;0.183627;0.445445
3963972;0.235186;0.593238;0.540489;0.179538;0.442413
4162110;0.229851;0.505134;0.545431;0.176352;0.439614
4370154;0.22393;0.520115;0.54696;0.173605;0.438438
4588600;0.217796;0.497324;0.552334;0.171916;0.435215
4817968;0.211955;0.584938;0.554434;0.169247;0.434067
5058804;0.206145;0.488002;0.556183;0.167088;0.430902
5311681;0.200555;0.522291;0.561343;0.164848;0.427828
